address,website,email,headMasterName,respName,estdYear,boardSec,boardHighSec,boardSecName,boardHighSecName,recogYearPri,recogYearUpr,recogYearSec,recogYearHsec,cwsnSchYn,cwsnSchYnDesc,shiftSchYn,shiftSchYnDesc,resiSchYn,resiSchDesc,resiSchTypeName,resiSchTypeId,schPhone,mediumOfInstrName1,mediumOfInstrName2,mediumOfInstrName3,mediumOfInstrName4,mediumOfInstrId1,mediumOfInstrId2,mediumOfInstrId3,mediumOfInstrId4,minorityYn,minorityYnDesc,anganwadiYn,anganwadiYnDesc,anganwadiStuB,anganwadiStuG,anganwadiTchTrained,cceYn,cceYnDesc,instructionalDays,noInspect,noVisitCrc,noVisitBrc,noVisitDis,smcYn,smcYnDesc,smdcYn,smdcYnDesc,approachRoadYnDesc,smdcSmcSameYnDesc,txtbkPriYnDesc,txtbkUprYnDesc,txtbkSecYnDesc,txtbkHsecYnDesc,spltrgYnDesc,suppMatRecdYnDesc,approachRoadYn,ppSecYN,ppSecDesc,schoolId,yearId,yearDesc,stateId,districtId,districtName,blockId,blockName,schoolName
VILL-RANGABHITTA PO-DALUA HAT PS-POTHIA DIST-KISHANGANJ,,,Gopal Kumar Chaudhari,Gopal Kumar Choudhari,1952,0,0,NA,NA,,,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,4-Hindi,NA,NA,NA,4,0,0,0,2,2-No,2,2-No,0,0,9,1,1-Yes,132,8,4,2,2,1,1-Yes,9,NA,1-Yes,,,,,,,,1,2,2-No,2407188,9,2022-23,110,2008,KISHANGANJ,20097,POTHIA,UMS  RANGA BHITTA
Hulhhuli thakurganj kishanganj,,umskhuta@gmail.com,BRAHM LAL SINGH,BRAHM LAL SINGH,1965,0,0,NA,NA,,,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,4-Hindi,NA,NA,NA,4,0,0,0,2,2-No,2,2-No,0,0,9,2,2-No,127,0,0,0,0,2,2-No,9,NA,1-Yes,,,,,,,,1,2,2-No,2460304,9,2022-23,110,2008,KISHANGANJ,20098,THAKURGANJ,UMS KHUTAMANI
UMS BHELA GURI PANCHAYAT KALPIR,,,ASHUTOSH KUMAR,ASHUTOSH KUMAR,1956,0,0,NA,NA,1956,2011,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,4-Hindi,NA,NA,NA,4,0,0,0,2,2-No,2,2-No,0,0,9,2,2-No,0,0,0,0,0,2,2-No,9,NA,1-Yes,,,,,,,,1,2,2-No,2410975,9,2022-23,110,2008,KISHANGANJ,20096,TERHA GACHH,UMS BHELA GURI
MADARSA RAHMANIA BHORHA ,,mrbhorha@gmail.com,MD SAYEED ALAM,MS SAYEED ALAM,1968,0,0,NA,NA,1972,,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,18-Urdu,NA,NA,NA,18,0,0,0,1,1-Yes,9,NA,0,0,9,1,1-Yes,150,0,0,0,0,9,NA,9,NA,1-Yes,,,,,,,,1,2,2-No,2453589,9,2022-23,110,2008,KISHANGANJ,20096,TERHA GACHH,MADARSA RAHMANIYA BHORHA
"At-Kudheli,Panchayat-Patharghatti,Block-Dighalbank,District-Kishanganj,Bihar,855101",,uhskurhaili@gmail.com,MD SOHAIL AKHTER,MD SOHAIL AKHTER,1961,2,0,2-State Board,NA,1961,2007,2012,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,4-Hindi,NA,NA,NA,4,0,0,0,2,2-No,2,2-No,0,0,9,1,1-Yes,132,0,0,0,0,1,1-Yes,1,1-Yes,1-Yes,,,,,,,,1,2,2-No,2477282,9,2022-23,110,2008,KISHANGANJ,20099,DIGHAL BANK,MS KUDHAILI
"At-Ekra mushar tola,Panchayat-Ekra,Po-Lohagara Hat,Block-Dighalbank,District-Kishanganj,Bihar,855101",,psmushartola@gmail.com,ANITA KUMARI,ANITA KUMARI,2010,0,0,NA,NA,2010,,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,4-Hindi,NA,NA,NA,4,0,0,0,2,2-No,2,2-No,0,0,9,1,1-Yes,132,9,5,3,1,1,1-Yes,9,NA,1-Yes,,,,,,,,1,2,2-No,2436019,9,2022-23,110,2008,KISHANGANJ,20099,DIGHAL BANK,NPS MUSHARTOLA EKRA
Gulshanbhita po piprithan ps kurlikot thakurganj kishanganj,,umsgulshanbhita@gmail.com,GHULSHAN ARA ,GHULSHAN ARA,1965,0,0,NA,NA,1965,2014,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,4-Hindi,NA,NA,NA,4,0,0,0,2,2-No,2,2-No,0,0,9,1,1-Yes,132,1,1,1,1,2,2-No,9,NA,1-Yes,,,,,,,,1,2,2-No,2460571,9,2022-23,110,2008,KISHANGANJ,20098,THAKURGANJ,U.M.S. GULSAN BHITA
masjid garah po-bagal bari kochadhaman,,,MAHFOOZ ARIF,MAHFOOZ ARIF,1958,0,0,NA,NA,1958,1960,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,4-Hindi,NA,NA,NA,4,0,0,0,2,2-No,2,2-No,0,0,9,2,2-No,132,5,4,2,3,2,2-No,9,NA,1-Yes,,,,,,,,1,2,2-No,2468123,9,2022-23,110,2008,KISHANGANJ,20101,KOCHADHAMAN,UMS MASJIDGARH
AT-RANGAMANI PO-KANHAIYABARI,,,MD AFROZ,MD AFROZ,1960,0,0,NA,NA,1960,2011,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,4-Hindi,NA,NA,NA,4,0,0,0,2,2-No,2,2-No,0,0,9,1,1-Yes,133,0,0,0,0,1,1-Yes,9,NA,1-Yes,,,,,,,,1,2,2-No,2479966,9,2022-23,110,2008,KISHANGANJ,20101,KOCHADHAMAN,UMS RANGAMANI
BAHADURGANJ DAHGAON BANS BARI ,,,RAJENDRA LAL RAM,RAJENDRA LAL RAM,1962,0,0,NA,NA,1962,,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,4-Hindi,NA,NA,NA,4,0,0,0,2,2-No,2,2-No,0,0,9,2,2-No,0,0,0,0,0,2,2-No,9,NA,2-No,,,,,,,,2,2,2-No,2455060,9,2022-23,110,2008,KISHANGANJ,20100,BAHADURGANJ,UMS DAHGOAN BANSBARI
RAHMANIYA DAHIBHAT TERHAGACHH,,,MD ZUBAIR ALAM,MD ZUBAIR ALAM,1962,0,0,NA,NA,,1971,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,18-Urdu,NA,NA,NA,18,0,0,0,2,2-No,9,NA,0,0,9,2,2-No,153,0,0,0,0,9,NA,9,NA,1-Yes,,,,,,,,1,2,2-No,2415528,9,2022-23,110,2008,KISHANGANJ,20096,TERHA GACHH,MADARSA RAHMANIYA DAHIBHAT
"AT-KUSIARI PS,PS-POTHIA DIST-KISHANGANJ",,uhskusiyari1954@gmail.com,Md Salahuddin,Md Salahuddin,1954,2,0,2-State Board,NA,1954,2005,2014,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,4-Hindi,NA,NA,NA,4,0,0,0,2,2-No,2,2-No,0,0,9,1,1-Yes,158,18,10,6,2,1,1-Yes,1,1-Yes,1-Yes,,,,,,,,1,2,2-No,2440794,9,2022-23,110,2008,KISHANGANJ,20097,POTHIA,MS KUSIYARI
NAIBASTI THAKURGANJ KISHANGANJ,,nainps227@gmail.com,MD IZHAR HUSSAIN,MD IZHAR HUSSAIN,2010,0,0,NA,NA,,,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,4-Hindi,NA,NA,NA,4,0,0,0,2,2-No,2,2-No,0,0,9,2,2-No,132,0,0,0,0,2,2-No,9,NA,1-Yes,,,,,,,,1,2,2-No,2451721,9,2022-23,110,2008,KISHANGANJ,20098,THAKURGANJ,NPS NAIBASTI
UMS MASTALIA KOCHADHAMAN ,,, MD NAJIRUL ISLAM,MD NAJIRUL ISLAM,1955,0,0,NA,NA,1955,2005,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,4-Hindi,NA,NA,NA,4,0,0,0,2,2-No,2,2-No,0,0,9,1,1-Yes,132,0,0,0,0,2,2-No,9,NA,1-Yes,,,,,,,,1,2,2-No,2468862,9,2022-23,110,2008,KISHANGANJ,20101,KOCHADHAMAN,UMS MASTALIA
"at-rani,po-kochadhaman kishanganj",,,MUNAZIR ALAM,MUNAZIR ALAM,1957,0,0,NA,NA,1957,2011,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,4-Hindi,NA,NA,NA,4,0,0,0,2,2-No,2,2-No,0,0,9,1,1-Yes,132,0,0,0,0,1,1-Yes,9,NA,1-Yes,,,,,,,,1,2,2-No,2421493,9,2022-23,110,2008,KISHANGANJ,20101,KOCHADHAMAN,UMS RANI
AT-KHATIAPICHHLA PO-KHATIAPICHHLA PS-POTHIA KISHANGANJ,,,MD MUSA,MD MUSA,1987,0,0,NA,NA,,,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,18-Urdu,NA,NA,NA,18,0,0,0,2,2-No,9,NA,0,0,9,1,1-Yes,132,0,0,0,0,9,NA,9,NA,1-Yes,,,,,,,,1,2,2-No,2498660,9,2022-23,110,2008,KISHANGANJ,20097,POTHIA,MADARSA RASHIDIA FAIZUL QURAAN KHATIA PICHHLA
"VILL-KUWARI, POST-CHILHANIA, BLOCK-TERHAGACHHH",,uhskuwari@gmail.com,BHAGWAN PD CHOUDHARY,BHAGWAN PD CHOUDHARY,1952,2,0,2-State Board,NA,1952,,2013,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,4-Hindi,NA,NA,NA,4,0,0,0,2,2-No,2,2-No,0,0,9,2,2-No,0,0,0,0,0,2,2-No,2,2-No,1-Yes,,,,,,,,1,2,2-No,2479222,9,2022-23,110,2008,KISHANGANJ,20096,TERHA GACHH,MS KUWARI
"At-Kumhia Ekra,Panchayat-Ekra,Block-Dighalbank,District-Kishanganj,Bihar,855101",,psnanhetolakumhiya77@gmail.com,ASADULLAH,ASADULLAH,2009,0,0,NA,NA,2009,,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,4-Hindi,NA,NA,NA,4,0,0,0,2,2-No,2,2-No,0,0,9,1,1-Yes,132,7,4,2,1,1,1-Yes,9,NA,1-Yes,,,,,,,,1,2,2-No,2414037,9,2022-23,110,2008,KISHANGANJ,20099,DIGHAL BANK,NPS NANHETOLA KUMHIA
VILL-MATIABHITTA PO-MIRZAPUR PS-POTHIA DIST-KISHANGANJ,,umsmatiabhitta@gmail.com,AHMAD HUSSAIN,AHMAD HUSSAIN,2007,0,0,NA,NA,2007,2012,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,4-Hindi,NA,NA,NA,4,0,0,0,2,2-No,2,2-No,0,0,9,1,1-Yes,132,10,0,7,3,1,1-Yes,9,NA,1-Yes,,,,,,,,1,2,2-No,2439328,9,2022-23,110,2008,KISHANGANJ,20097,POTHIA,U.M.S MATIYA BHITTA
VILL-RASIADANGI PO-RAIPUR DIST-KISHANGANJ,,umsrasiadangi@gmail.com,MD SAIDUR RAHMAN,MD SAIDUR RAHMAN,1952,0,0,NA,NA,1952,,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,4-Hindi,NA,NA,NA,4,0,0,0,2,2-No,2,2-No,0,0,9,1,1-Yes,132,7,3,2,2,1,1-Yes,9,NA,1-Yes,,,,,,,,1,2,2-No,2440327,9,2022-23,110,2008,KISHANGANJ,20097,POTHIA,UMS  RASIA DANGI
adgarabasti kalughat thkaurganj kishanganj,,razae.mostfa1987@gmail.com,MD GULAM RABBANI,GULAM RABBANI,1987,0,0,NA,NA,1987,2011,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,18-Urdu,NA,NA,NA,18,0,0,0,2,2-No,9,NA,0,0,9,2,2-No,132,0,0,0,0,9,NA,9,NA,1-Yes,,,,,,,,1,2,2-No,2431274,9,2022-23,110,2008,KISHANGANJ,20098,THAKURGANJ,MADARSA RAZA -E- MUSTAFA KALUGHAT
AT-KUWARIKAIRI PO-BISHANPUR ,,10082710701@GMAIL.COM,UMESH RAM,Umesh ram,1965,2,0,2-State Board,NA,1965,2010,2016,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,4-Hindi,NA,NA,NA,4,0,0,0,2,2-No,1,1-Yes,18,22,1,1,1-Yes,154,5,5,2,1,2,2-No,2,2-No,1-Yes,,,,,,,,1,2,2-No,2467350,9,2022-23,110,2008,KISHANGANJ,20101,KOCHADHAMAN,MS KUWARI KAIRI
Patha Mari thakurganj kishanganj,,,SANJAY KUMAR RAM,SANJAY KUMAR RAM,2012,0,0,NA,NA,2012,,,,2,2-No,1,1-Yes,3,3-Non Residential,NA,0,,4-Hindi,NA,NA,NA,4,0,0,0,2,2-No,1,1-Yes,78,59,1,2,2-No,251,0,0,0,0,2,2-No,9,NA,1-Yes,,,,,,,,1,2,2-No,2435040,9,2022-23,110,2008,KISHANGANJ,20098,THAKURGANJ,NPS NANKAR
AT-MAUJABARI PO-BAGALBARI KOCHADHAMAN,,ramanjeethakur125@gmail.com,ABDUL KHALIQUE,ABDUL KHALIQUE,1963,0,0,NA,NA,1963,2010,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,4-Hindi,NA,NA,NA,4,0,0,0,2,2-No,2,2-No,0,0,9,1,1-Yes,132,12,4,2,0,1,1-Yes,9,NA,1-Yes,,,,,,,,1,2,2-No,2460513,9,2022-23,110,2008,KISHANGANJ,20101,KOCHADHAMAN,UMS MAUJA BARI
AT-RUHIA PO-BARIJAN KOCHADHAMAN,,umsruhia20@gmail.com,MD MUSHAHID RAZA,Md Mushahid Raza,1971,0,0,NA,NA,1971,2006,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,4-Hindi,NA,NA,NA,4,0,0,0,2,2-No,2,2-No,0,0,9,1,1-Yes,131,5,3,2,0,2,2-No,9,NA,1-Yes,,,,,,,,1,2,2-No,2412448,9,2022-23,110,2008,KISHANGANJ,20101,KOCHADHAMAN,UMS RUHIYA
"At- Rizwi Nagar Ekra Kumhiya,Panchayat-Ekra,Block-Dighalbank,District-Kishanganj Bihar,855101",,madarsarefahulmus205@gmail.com,SHAMIM AKHTAR RAZWI,SHAMIM AKHTAR RAZWI,1970,0,0,NA,NA,1987,1987,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,18-Urdu,NA,NA,NA,18,0,0,0,1,1-Yes,9,NA,0,0,9,1,1-Yes,152,0,0,0,0,9,NA,9,NA,1-Yes,,,,,,,,1,2,2-No,2430171,9,2022-23,110,2008,KISHANGANJ,20099,DIGHAL BANK,MADARSA REFAHUL MUSLEMIN RIZVI NAGAR EKRA KUMHIA
BAHADURGANJ  LAUCHA  LAUCHA ,,rizwankazmi047@gmail.com,RIZWAN AHMAD KAZMI,RIZWAN AHMAD KAZMI,1934,2,0,2-State Board,NA,,2006,2014,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,4-Hindi,NA,NA,NA,4,0,0,0,2,2-No,2,2-No,0,0,9,1,1-Yes,0,0,0,0,0,2,2-No,2,2-No,1-Yes,,,,,,,,1,2,2-No,2487849,9,2022-23,110,2008,KISHANGANJ,20100,BAHADURGANJ,MS LAUCHA
AT-NATUAPARA PO-DHANPATGANJ,,,MD NAJAM,MD NAJAM,2007,0,0,NA,NA,2007,,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,4-Hindi,NA,NA,NA,4,0,0,0,2,2-No,2,2-No,0,0,9,1,1-Yes,132,0,0,0,0,1,1-Yes,9,NA,1-Yes,,,,,,,,1,2,2-No,2491113,9,2022-23,110,2008,KISHANGANJ,20101,KOCHADHAMAN,NPS NATWAPARA
sahebganj thakurganj kishanganj,,umssahebganjtkg@gmail.com,ANITA KUMARI,ANITA KUMARI,1959,0,0,NA,NA,1959,2014,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,4-Hindi,NA,NA,NA,4,0,0,0,2,2-No,2,2-No,0,0,9,1,1-Yes,132,0,0,0,0,2,2-No,9,NA,1-Yes,,,,,,,,1,2,2-No,2417408,9,2022-23,110,2008,KISHANGANJ,20098,THAKURGANJ,U.M.S.SAHEB GANJ
At-majkuri Po-Singhari kochadhaman,,10082708501@gmail.com,SANJEEV KUMAR SAH,SANJEEV KUMAR SAH,1966,0,0,NA,NA,1966,2010,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,4-Hindi,NA,NA,NA,4,0,0,0,2,2-No,2,2-No,0,0,9,1,1-Yes,132,0,0,0,0,1,1-Yes,9,NA,1-Yes,,,,,,,,1,2,2-No,2489641,9,2022-23,110,2008,KISHANGANJ,20101,KOCHADHAMAN,UMS MAZKURI
VILL-DHOBNIA PO-RAIPUR PS-PAHARKATTA DIST-KISHANGANJ,,,HARI PRASAD DAS,HARI PRASAD DAS,1968,0,0,NA,NA,1968,2005,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,4-Hindi,NA,NA,NA,4,0,0,0,2,2-No,2,2-No,0,0,9,1,1-Yes,132,5,0,2,3,1,1-Yes,9,NA,1-Yes,,,,,,,,1,2,2-No,2466582,9,2022-23,110,2008,KISHANGANJ,20097,POTHIA,UMS  DHOBINIA
AT-DANTI PO-KOCHADHAMAN KOCHADHAMAN,,,RAMANAND MANDAL,RAMANAND MANDAL,1952,0,0,NA,NA,1952,2012,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,4-Hindi,NA,NA,NA,4,0,0,0,2,2-No,1,1-Yes,6,34,1,1,1-Yes,132,0,0,0,0,1,1-Yes,9,NA,1-Yes,,,,,,,,1,2,2-No,2437387,9,2022-23,110,2008,KISHANGANJ,20101,KOCHADHAMAN,UMS DANTI
BAHADURGANJ ALTABARI ,,,RAJESH KUMAR GANESH,RAJESH KUMAR GANESH,1958,0,0,NA,NA,1958,2011,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,4-Hindi,NA,NA,NA,4,0,0,0,2,2-No,2,2-No,0,0,9,2,2-No,0,0,0,0,0,2,2-No,9,NA,1-Yes,,,,,,,,1,2,2-No,2434351,9,2022-23,110,2008,KISHANGANJ,20100,BAHADURGANJ,UMS KOAIMARI
"At-Bherbheri,Po/Ps-Dighalbank,District-Kishanganj,Bihar,855101",,umsbherbheri1956@gmail.com,VINOD KUMAR PATU,VINOD KUMAR PATU,1956,0,0,NA,NA,1956,2006,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,4-Hindi,NA,NA,NA,4,0,0,0,2,2-No,2,2-No,0,0,9,1,1-Yes,132,19,14,5,0,1,1-Yes,9,NA,1-Yes,,,,,,,,1,2,2-No,2455057,9,2022-23,110,2008,KISHANGANJ,20099,DIGHAL BANK,UMS BHERBHERI
BAHADURGANJ CHORKATTA KUDHELA ,,,MD ATAUR RAHMAN,MD ATAUR RAHMAN,1962,0,0,NA,NA,,,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,18-Urdu,NA,NA,NA,18,0,0,0,1,1-Yes,9,NA,0,0,9,1,1-Yes,0,0,0,0,0,9,NA,9,NA,1-Yes,,,,,,,,1,2,2-No,2453859,9,2022-23,110,2008,KISHANGANJ,20100,BAHADURGANJ,MADARSA REJAUL ULUM CHORKATTA KURHELA
"At-Mirzabhitta,Po/Ps-Kodhobari,Block-Dighalbank,District-Kishanganj,Bihar,855101",,umslaxmipurburjtola@gmail.com,MD NOOR UDDIN,MD NOOR UDDIN,1962,5,0,5-Others,NA,1962,2005,2016,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,4-Hindi,NA,NA,NA,4,0,0,0,2,2-No,2,2-No,0,0,9,1,1-Yes,132,7,4,2,1,1,1-Yes,1,1-Yes,1-Yes,,,,,,,,1,2,2-No,2491727,9,2022-23,110,2008,KISHANGANJ,20099,DIGHAL BANK,MS  LAXMIPUR BURZTOLA
BAHADURGANJ GUNA CHAURASI ,,,KRISHNA PRASAD SINGH,KRISHNA PRASAD SINGH,1983,0,0,NA,NA,,,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,4-Hindi,NA,NA,NA,4,0,0,0,2,2-No,2,2-No,0,0,9,1,1-Yes,0,0,0,0,0,2,2-No,9,NA,1-Yes,,,,,,,,1,2,2-No,2453475,9,2022-23,110,2008,KISHANGANJ,20100,BAHADURGANJ,UMS GUNA CHAURASI
churli thakurganj kishanganj,,,RAHUL KUMAR YADAW,RAHUL KUMAR YADAW,2012,0,0,NA,NA,2012,,,,2,2-No,1,1-Yes,3,3-Non Residential,NA,0,,4-Hindi,NA,NA,NA,4,0,0,0,2,2-No,2,2-No,0,0,9,2,2-No,132,0,0,0,0,2,2-No,9,NA,1-Yes,,,,,,,,1,2,2-No,2447478,9,2022-23,110,2008,KISHANGANJ,20098,THAKURGANJ,NPS NAWDUBA FATAK SINGH TOLA
AT-UMS MENDI PUR KUSPARA MAJKURI,,,ARVIND KUMAR JHA,ARVIND KUMAR JHA,1973,0,0,NA,NA,1973,2011,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,4-Hindi,NA,NA,NA,4,0,0,0,2,2-No,2,2-No,0,0,9,1,1-Yes,132,0,0,0,0,2,2-No,9,NA,1-Yes,,,,,,,,1,2,2-No,2470297,9,2022-23,110,2008,KISHANGANJ,20101,KOCHADHAMAN,UMS MEHANDIPUR
